smiles,log_vp(pa),split
C=Cc1ccccc1Cl,2.006968423,train
CC(=NO)C(C)=NO,-1.036255604,train
O=[N+]([O-])O[C@@H]1CCCCC[C@H]1O[N+](=O)[O-],0.045,train
CN(C)CCS,3.206,train
CCCCCCCCCCCCCCCCN,-1.820150411,train
O=[N+]([O-])c1ccc(O)cc1,0.428899429,train
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2)c(Br)c1,-4.657,train
CCCCCC(Br)CBr,1.326,train
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,-7.179623019,train
O=C(c1cccc2ccccc12)c1cn(CCN2CCOCC2)c2ccccc12,-8.795923449,train
CNC(C)Cc1ccccc1,-0.142710935,train
CNCCC(Oc1ccccc1C)c1ccccc1,-2.757833399,train
CCOP(=S)(CC)Sc1ccccc1,0.012631284,train
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,-2.78,train
CC1(C)CC(=O)CC(=O)C1,0.903046555,train
CC(C)c1ccccc1O,1.150332375,train
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.504363391,train
CC(=O)CCC(C)C,2.862607458,train
O=C(O)c1ccccn1,0.021972308,train
CCc1ccc(O)cc1,0.67990131,train
CCS,4.764634282,train
O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-8.87509818,train
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-5.470270978,train
O=c1ccc2ccccc2o1,-0.761663855,train
FC(F)C(F)(F)OCC(F)(F)F,4.45315091,train
CCCC(N)=O,-0.341615105,train
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-3.561835008,train
CC1=CC(=C(C=C1)O)[N+](=O)[O-],-3.242603971,train
CCCC=CCCC,3.375803005,train
C/C=N\O,3.206,train
COc1ccc(N)c(C)c1,0.425925301,train
Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,-2.51,train
CCC=CCC=CCC=CCCCCCCCC(=O)O,-4.142710935,train
Brc1ccc(Oc2ccccc2)c(Br)c1,-1.815,train
OCCOCCOCCO,-0.813216989,train
FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,3.497,train
C[C@H](N)c1ccccc1,1.916,train
CC=Cc1ccc(OC)cc1,0.97160182,train
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.553030099,train
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,-3.55526787,train
Fc1c(F)c(F)c(F)c(F)c1F,4.055332886,train
COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,-2.086936324,train
Cc1cccc(OCC2CO2)c1,0.726955296,train
FC(F)(F)C(F)(Cl)Cl,5.339295032,train
CNC(=O)CSP(=S)(OC)OC,-2.792392773,train
C=C(C)CCC(=C)C,3.516883454,train
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-8.010593614,train
COC(=O)c1cccc(Cl)c1,1.079137814,train
CCC(C)(C)C(C)(C)C,3.105609645,train
CCOc1ccc(NC(C)=O)cc1,-4.055726115,train
OCC1CCCCO1,1.124895305,train
Oc1ccc(-c2ccc(O)cc2)cc1,-3.977477604,train
O=C(O)c1cccc(O)c1O,-3.5528854,train
O=C(O)CCCCCCC(=O)O,-4.522136796,train
C1CCCNCCC1,2.61,train
c1ccc2[nH]ncc2c1,-0.70484298,train
NC(=O)CF,2.1205305,train
C1CC1,5.858195653,train
CCOC(C)=O,4.070931267,train
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-9.882993207,train
ClP(Cl)Cl,4.179252967,train
O=C1OC(O)C(C(Cl)Cl)=C1Cl,-3.660260847,train
COP(=O)(NC(C)=O)SC,-3.645002432,train
CCCNC,4.274114418,train
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.600922513,train
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-2.232030013,train
C1=CC(=CC(=C1)O)[N+](=O)[O-],1.399673721,train
CCCCCC(C)O,2.160100663,train
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-1.532681674,train
O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,-7.379560357,train
